Country,Country Code,Destination,Country code,Code,Min digits,Max digits,Website
Afghanistan,AF,Proper,93,,11,11,
Afghanistan,AF,ATOMA,93,76,11,11,https://www.atoma.com
Afghanistan,AF,ATOMA,93,77,11,11,https://www.atoma.com
Afghanistan,AF,AWCC,93,70,11,11,https://www.afghan-wireless.com
Afghanistan,AF,AWCC,93,71,11,11,https://www.afghan-wireless.com
Afghanistan,AF,Etisalat,93,73,11,11,https://www.etisalat.af
Afghanistan,AF,Etisalat,93,78,11,11,https://www.etisalat.af
Afghanistan,AF,Roshan,93,72,11,11,https://www.roshan.af
Afghanistan,AF,Roshan,93,79,11,11,https://www.roshan.af
Afghanistan,AF,Salaam,93,74,11,11,https://salaam.af
Albania,AL,Proper,355,,11,11,
Albania,AL,One,355,67,12,12,https://www.one.al
Albania,AL,One,355,68,12,12,https://www.one.al
Albania,AL,Vodafone,355,69,12,12,https://www.vodafone.al
Algeria,DZ,Proper,213,,11,11,
Algeria,DZ,Djezzy,213,7,12,12,
Algeria,DZ,Mobilis,213,6,12,12,https://www.mobilis.dz
Algeria,DZ,Ooredoo,213,5,12,12,https://www.ooredoo.dz
Andorra,AD,Proper,376,,9,9,
Andorra,AD,Andorra Telecom,376,3,9,9,https://www.andorratelecom.ad
Andorra,AD,Andorra Telecom,376,4,9,9,https://www.andorratelecom.ad
Andorra,AD,Andorra Telecom,376,6,9,9,https://www.andorratelecom.ad
Angola,AO,Proper,244,,12,12,
Angola,AO,Africell,244,95,12,12,https://www.africell.ao
Angola,AO,Movicel,244,91,12,12,
Angola,AO,Movicel,244,99,12,12,
Angola,AO,Unitel,244,92,12,12,https://www.unitel.ao
Angola,AO,Unitel,244,93,12,12,https://www.unitel.ao
Angola,AO,Unitel,244,94,12,12,https://www.unitel.ao
Antigua and Barbuda,AG,Proper,1268,,11,11,
Antigua and Barbuda,AG,Mobile,1268,,11,11,
Argentina,AR,Proper,54,,12,12,
Argentina,AR,Mobile,54,9,13,13,
Armenia,AM,Proper,374,,11,11,
Armenia,AM,Team Telecom,374,43,11,11,https://www.telecomarmenia.am
Armenia,AM,Team Telecom,374,91,11,11,https://www.telecomarmenia.am
Armenia,AM,Team Telecom,374,96,11,11,https://www.telecomarmenia.am
Armenia,AM,Team Telecom,374,99,11,11,https://www.telecomarmenia.am
Armenia,AM,Ucom,374,41,11,11,https://www.ucom.am
Armenia,AM,Ucom,374,44,11,11,https://www.ucom.am
Armenia,AM,Ucom,374,55,11,11,https://www.ucom.am
Armenia,AM,Ucom,374,95,11,11,https://www.ucom.am
Armenia,AM,Viva-MTS,374,77,11,11,https://www.mts.am
Armenia,AM,Viva-MTS,374,93,11,11,https://www.mts.am
Armenia,AM,Viva-MTS,374,94,11,11,https://www.mts.am
Armenia,AM,Viva-MTS,374,98,11,11,https://www.mts.am
Australia,AU,Proper,61,,11,11,
Australia,AU,Mobile,61,4,11,11,
Austria,AT,Proper,43,,6,15,
Austria,AT,A1,43,664,11,13,https://www.a1.net
Austria,AT,Drei,43,660,11,13,https://www.drei.at
Austria,AT,Drei,43,699,11,13,https://www.drei.at
Austria,AT,Magenta,43,676,11,13,https://www.magenta.at
Azerbaijan,AZ,Proper,994,,12,12,
Azerbaijan,AZ,Azercell,994,10,12,12,https://www.azercell.com
Azerbaijan,AZ,Azercell,994,50,12,12,https://www.azercell.com
Azerbaijan,AZ,Azercell,994,51,12,12,https://www.azercell.com
Azerbaijan,AZ,Bakcell,994,55,12,12,https://www.bakcell.com
Azerbaijan,AZ,Bakcell,994,99,12,12,https://www.bakcell.com
Azerbaijan,AZ,Nar,994,70,12,12,https://www.nar.az
Azerbaijan,AZ,Nar,994,77,12,12,https://www.nar.az
Bahamas,BS,Proper,1242,,11,11,
Bahamas,BS,Mobile,1242,,11,11,
Bahrain,BH,Proper,973,,11,11,
Bahrain,BH,Batelco,973,39,11,11,https://www.batelco.com
Bahrain,BH,stc,973,33,11,11,https://www.stc.com.bh
Bahrain,BH,stc,973,34,11,11,https://www.stc.com.bh
Bahrain,BH,stc,973,35,11,11,https://www.stc.com.bh
Bahrain,BH,Zain,973,36,11,11,https://www.bh.zain.com
Bahrain,BH,Zain,973,37,11,11,https://www.bh.zain.com
Bangladesh,BD,Proper,880,,12,12,
Bangladesh,BD,Airtel,880,16,13,13,https://www.bd.airtel.com
Bangladesh,BD,Banglalink,880,14,13,13,https://www.banglalink.net
Bangladesh,BD,Banglalink,880,19,13,13,https://www.banglalink.net
Bangladesh,BD,Grameenphone,880,13,13,13,https://www.grameenphone.com
Bangladesh,BD,Grameenphone,880,17,13,13,https://www.grameenphone.com
Bangladesh,BD,Robi,880,18,13,13,https://www.robi.com.bd
Bangladesh,BD,Teletalk,880,15,13,13,https://www.teletalk.com.bd
Barbados,BB,Proper,1246,,11,11,
Barbados,BB,Mobile,1246,,11,11,
Cambodia,KH,Proper,855,,11,12,
Cambodia,KH,Cellcard,855,11,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,12,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,14,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,17,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,61,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,76,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,77,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,78,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,79,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,85,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,89,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,92,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,95,11,12,https://www.cellcard.com.kh
Cambodia,KH,Cellcard,855,99,11,12,https://www.cellcard.com.kh
Cambodia,KH,Metfone,855,31,11,12,https://www.metfone.com.kh
Cambodia,KH,Metfone,855,60,11,12,https://www.metfone.com.kh
Cambodia,KH,Metfone,855,66,11,12,https://www.metfone.com.kh
Cambodia,KH,Metfone,855,67,11,12,https://www.metfone.com.kh
Cambodia,KH,Metfone,855,68,11,12,https://www.metfone.com.kh
Cambodia,KH,Metfone,855,71,11,12,https://www.metfone.com.kh
